PlotNum,Plot,nRows,SumBA,sumBAgte2,PctBAgte2,sumBAdampct,pctBApct,canopyBA,canopyBApctdam,pctcandamcanBApct,sumBAcangte2 ,pctcanBAgte2,easting,northing
821,8C1,16,5484.380397,49.01669938,0.008937509,24.50834969,0.004468755,4973.942277,0,0,0,0,615463.0063,4323118.4170
822,8C2,22,6526.266039,1884.185902,0.288708105,672.3891852,0.103028161,5332.77499,0,0,0,0,615388.1404,4323136.7235
823,8C3,36,4092.725537,1125.467714,0.274992228,393.2900938,0.09609491,3177.312562,196.9876769,0.061998205,0,0,615472.6750,4323157.4934
824,8C4,18,4225.033712,1414.172225,0.334712649,721.435337,0.170752563,3357.435777,534.7029966,0.159259337,534.7029966,0.159259337,615418.1707,4323178.3955
831,8E1,17,17555.54176,7454.598814,0.42462938,2363.282709,0.134617475,16625.9445,2308.670047,0.138859482,1847.45283,0.111118669,615430.8593,4322804.6205
832,8E2,22,18743.25228,11859.48085,0.632733352,3619.664516,0.193118273,16221.71577,2341.297451,0.144331061,0,0,615498.0750,4322820.6781
833,8E3,17,12419.51687,6435.631091,0.518186912,5622.060695,0.452679501,10446.7459,5165.728654,0.494482081,5165.728654,0.494482081,615484.8458,4322845.8136
834,8E4,26,17520.54442,10087.7247,0.575765482,3165.610129,0.180679895,11917.60817,1892.536648,0.158801718,0,0,615406.7936,4322865.6574
1001,1001,72,10546.01185,2690.6346,0.255132901,840.6937875,0.07971675,20244.14874,218.8481875,0.010810442,256.32605,0.012661735,614097.5460,4324429.7690
1002,1002,62,11518.9958,4925.34905,0.427584933,1621.468525,0.140764747,4283.2426,697.43325,0.162828332,2279.8755,0.532277929,614160.7264,4324252.3590
1003,1003,88,12429.98045,3176.6124,0.255560531,1076.749175,0.08662517,8451.7496,295.84295,0.035003752,890.96715,0.105418072,613159.6270,4323707.0190
1004,1004,86,12611.4332,5841.93075,0.463224969,1629.585425,0.129214927,8314.94765,1040.417413,0.125126153,3915.737,0.470927439,613340.1281,4323771.5190
1005,1005,66,10317.34135,2996.91805,0.290473868,1035.473875,0.100362471,7196.85645,633.024,0.087958403,1890.94725,0.262746279,613208.1273,4323796.5190
1301,1301,65,12229.66415,7256.0376,0.593314543,2475.138363,0.202388089,9497.3539,1602.41265,0.168722011,5433.7072,0.572128538,613291.3778,4323560.5180
1302,1302,62,7728.89805,3057.575,0.395602967,1284.130475,0.166146644,4567.8051,532.595025,0.116597581,1728.3188,0.378369646,613390.5034,4324230.0220
1303,1303,72,12077.1465,3535.17685,0.292716235,1068.469388,0.088470351,8674.41485,534.3436125,0.061599961,2137.37445,0.246399842,613308.5029,4324249.0220
1304,1304,76,13333.18575,4079.59005,0.30597264,1264.2111,0.094816882,10068.90455,565.3589625,0.056149004,2261.43585,0.224596016,613251.6901,4324133.0210
1305,1305,58,12033.03735,4266.24735,0.354544512,1516.727938,0.126046973,9571.29305,645.4956875,0.067440803,2581.98275,0.269763211,613088.2516,4323973.5200
