ws,plot,tree_id,species,branch,dbh,ba,dam_class,dam_gte2,pct_dam,canopy,ba_perc_dam
3,310,31,ACRU,1,6.8,36.31681108,Class 2,TRUE,25,S,9.079202769
3,310,50,BELE,1,2.7,5.725552611,Class 2,TRUE,25,S,1.431388153
3,310,22,FAGR,1,7.1,39.59192142,Class 2,TRUE,25,S,9.897980354
3,310,19,FAGR,1,4.6,16.61902514,Class 2,TRUE,25,S,4.154756284
3,310,33,OXAR,2,2.9,6.605198554,Class 2,TRUE,25,S,1.651299639
3,310,33,OXAR,3,2.7,5.725552611,Class 2,TRUE,25,S,1.431388153
3,310,39,ACRU,1,13.4,141.0260942,Class 3,TRUE,50,S,70.51304711
3,310,1,ACRU,2,8.3,54.10607948,Class 3,TRUE,50,S,27.05303974
3,310,6,ACRU,2,5,19.63495408,Class 3,TRUE,50,S,9.817477042
3,310,27,ACRU,1,3.5,9.621127502,Class 3,TRUE,50,S,4.810563751
3,310,48,FAGR,1,5.1,20.42820623,Class 3,TRUE,50,S,10.21410311
3,310,33,OXAR,1,3.4,9.079202769,Class 3,TRUE,50,S,4.539601384
3,310,43,QURU,1,10.5,86.59014751,Class 3,TRUE,50,S,43.29507376
3,310,49,QURU,1,5.7,25.51758633,Class 3,TRUE,50,S,12.75879316
3,310,7,ACRU,5,9.7,73.89811319,Class 6,TRUE,100,S,73.89811319
3,310,7,ACRU,2,6.2,30.1907054,Class 6,TRUE,100,S,30.1907054
3,310,44,ACRU,1,4.5,15.90431281,Class 6,TRUE,100,S,15.90431281
3,311,25,ACRU,1,39.5,1225.417484,Class 1,FALSE,0,C,0
3,311,17,MAAC,1,20,314.1592654,Class 1,FALSE,0,C,0
3,311,6,PRSE,1,29.1,665.0830187,Class 1,FALSE,0,C,0
3,311,13,PRSE,1,26.7,559.9024967,Class 1,FALSE,0,C,0
3,311,14,PRSE,1,23.6,437.4353611,Class 1,FALSE,0,C,0
3,311,20,PRSE,2,18.9,280.5520779,Class 1,FALSE,0,C,0
3,311,27,PRSE,1,25.7,518.7476329,Class 1,FALSE,0,C,0
3,311,30,PRSE,1,32,804.2477193,Class 1,FALSE,0,C,0
3,311,37,QURU,3,42.8,1438.723772,Class 1,FALSE,0,C,0
3,311,37,QURU,4,20.8,339.7946614,Class 1,FALSE,0,C,0
3,311,39,QURU,1,14.2,158.3676857,Class 1,FALSE,0,C,0
3,311,5,ACRU,2,13.9,151.7467792,Class 1,FALSE,0,S,0
3,311,5,ACRU,3,13.8,149.5712262,Class 1,FALSE,0,S,0
3,311,19,FAGR,1,5.9,27.33971007,Class 1,FALSE,0,S,0
3,311,22,FAGR,1,6.6,34.211944,Class 1,FALSE,0,S,0
3,311,38,FAGR,1,5.9,27.33971007,Class 1,FALSE,0,S,0
3,311,10,LITU,1,17.4,237.787148,Class 1,FALSE,0,S,0
3,311,37,QURU,1,9.5,70.88218425,Class 1,FALSE,0,S,0
3,311,26,ACRU,1,23.8,444.8809357,Class 2,TRUE,25,C,111.2202339
3,311,3,MAFR,1,28.4,633.4707427,Class 2,TRUE,25,C,158.3676857
3,311,21,PRSE,1,33.7,891.9688402,Class 2,TRUE,25,C,222.99221
3,311,31,PRSE,1,31.5,779.3113276,Class 2,TRUE,25,C,194.8278319
3,311,37,QURU,2,25.9,526.852942,Class 2,TRUE,25,C,131.7132355
3,311,5,ACRU,1,15.7,193.5927933,Class 2,TRUE,25,S,48.39819832
3,311,1,ACRU,2,12.5,122.718463,Class 2,TRUE,25,S,30.67961576
3,311,9,ACRU,1,10.5,86.59014751,Class 2,TRUE,25,S,21.64753688
3,311,12,ACRU,1,9.9,76.97687399,Class 2,TRUE,25,S,19.2442185
3,311,33,ACRU,1,9.6,72.38229474,Class 2,TRUE,25,S,18.09557368
3,311,8,ACRU,1,5.4,22.90221044,Class 2,TRUE,25,S,5.725552611
3,311,32,ACSA,1,15.7,193.5927933,Class 2,TRUE,25,S,48.39819832
3,311,4,FAGR,1,13.1,134.7821788,Class 2,TRUE,25,S,33.69554471
3,311,2,OXAR,1,3,7.068583471,Class 2,TRUE,25,S,1.767145868
3,311,23,BELE,1,20.4,326.8512997,Class 3,TRUE,50,C,163.4256498
3,311,16,ACRU,1,10.3,83.32289115,Class 3,TRUE,50,S,41.66144558
3,311,11,ACRU,1,8.4,55.41769441,Class 3,TRUE,50,S,27.7088472
3,311,26,ACRU,2,8.4,55.41769441,Class 3,TRUE,50,S,27.7088472
3,311,28,ACRU,1,5.5,23.75829444,Class 3,TRUE,50,S,11.87914722
3,311,24,ACRU,1,4.9,18.8574099,Class 3,TRUE,50,S,9.428704952
3,311,29,ACRU,1,3.5,9.621127502,Class 3,TRUE,50,S,4.810563751
3,311,18,BELE,1,10.9,93.31315579,Class 3,TRUE,50,S,46.6565779
3,311,40,FAGR,1,5.2,21.23716634,Class 3,TRUE,50,S,10.61858317
3,311,34,OXAR,1,5.1,20.42820623,Class 3,TRUE,50,S,10.21410311
3,311,1,ACRU,1,10.7,89.92023573,Class 6,TRUE,100,S,89.92023573
3,312,5,ACRU,1,22.9,411.8706509,Class 1,FALSE,0,C,0
3,312,13,ACRU,1,24.3,463.7697615,Class 1,FALSE,0,C,0
3,312,13,ACRU,2,16.1,203.5830579,Class 1,FALSE,0,C,0
3,312,6,PRSE,1,35,962.1127502,Class 1,FALSE,0,C,0
3,312,15,PRSE,1,38.1,1140.091828,Class 1,FALSE,0,C,0
3,312,16,PRSE,1,33.1,860.4900818,Class 1,FALSE,0,C,0
3,312,19,PRSE,1,29,660.5198554,Class 1,FALSE,0,C,0
3,312,22,PRSE,1,24.6,475.2915526,Class 1,FALSE,0,C,0
3,312,25,PRSE,1,34.2,918.6331078,Class 1,FALSE,0,C,0
3,312,29,PRSE,1,35.4,984.2295624,Class 1,FALSE,0,C,0
3,312,29,PRSE,2,33.4,876.1587752,Class 1,FALSE,0,C,0
3,312,39,PRSE,1,29,660.5198554,Class 1,FALSE,0,C,0
3,312,2,QUPR,1,14.3,160.6060704,Class 1,FALSE,0,C,0
3,312,9,ACRU,2,14,153.93804,Class 1,FALSE,0,S,0
3,312,17,ACRU,1,14.5,165.1299639,Class 1,FALSE,0,S,0
3,312,38,ACRU,1,6.1,29.22466566,Class 1,FALSE,0,S,0
3,312,27,FAGR,1,14,153.93804,Class 1,FALSE,0,S,0
3,312,34,FAGR,1,3.3,8.552985999,Class 1,FALSE,0,S,0
3,312,20,ACRU,1,21.6,366.4353671,Class 2,TRUE,25,C,91.60884178
3,312,8,PRSE,1,37.3,1092.716611,Class 2,TRUE,25,C,273.1791527
3,312,11,PRSE,1,32.8,844.9627601,Class 2,TRUE,25,C,211.24069
3,312,40,QUPR,2,34.8,951.1485918,Class 2,TRUE,25,C,237.787148
3,312,33,ACRU,1,12.2,116.8986626,Class 2,TRUE,25,S,29.22466566
3,312,3,ACRU,1,10,78.53981634,Class 2,TRUE,25,S,19.63495408
3,312,32,BELE,1,13.8,149.5712262,Class 2,TRUE,25,S,37.39280656
3,312,24,FAGR,1,14.4,162.8601632,Class 2,TRUE,25,S,40.71504079
3,312,12,ACRU,2,9.4,69.39778172,Class 3,TRUE,50,S,34.69889086
3,312,4,ACRU,1,7.7,46.56625711,Class 3,TRUE,50,S,23.28312855
3,312,7,ACRU,1,6.3,31.17245311,Class 3,TRUE,50,S,15.58622655
3,312,28,ACRU,1,5.4,22.90221044,Class 3,TRUE,50,S,11.45110522
3,312,12,ACRU,3,4.6,16.61902514,Class 3,TRUE,50,S,8.309512569
3,312,12,ACRU,1,4.5,15.90431281,Class 3,TRUE,50,S,7.952156404
3,312,18,BELE,1,9,63.61725124,Class 3,TRUE,50,S,31.80862562
3,312,26,BELE,1,6,28.27433388,Class 3,TRUE,50,S,14.13716694
3,312,40,QUPR,1,24.1,456.1671073,Class 5,TRUE,50,C,228.0835536
